0x2d62	0x2116	# áÇ
0x2d64	0x2121	# áÑ
0x2d35	0x2160	# áT
0x2d36	0x2161	# áU
0x2d37	0x2162	# áV
0x2d38	0x2163	# áW
0x2d39	0x2164	# áX
0x2d3a	0x2165	# áY
0x2d3b	0x2166	# áZ
0x2d3c	0x2167	# á[
0x2d3d	0x2168	# á\
0x2d3e	0x2169	# á]
0x7c71	0x2170	# ÓÔ
0x7c72	0x2171	# Ó
0x7c73	0x2172	# ÓÒ
0x7c74	0x2173	# ÓÚ
0x7c75	0x2174	# ÓÛ
0x7c76	0x2175	# ÓÙ
0x7c77	0x2176	# Óı
0x7c78	0x2177	# Óˆ
0x7c79	0x2178	# Ó˜
0x7c7a	0x2179	# Ó¯
0x2d74	0x2211	# áî
0x2d75	0x221a	# áï
0x2d78	0x221f	# áò
0x2d77	0x2220	# áó
0x2142	0x2225	# Åa
0x2d7b	0x2229	# áõ
0x2d7c	0x222a	# áú
0x2d72	0x222b	# áí
0x2d73	0x222e	# áì
0x2d7a	0x2235	# áö
0x2d70	0x2252	# áê
0x2d71	0x2261	# áë
0x2d76	0x22a5	# áñ
0x2d79	0x22bf	# áô
0x2d21	0x2460	# á@
0x2d22	0x2461	# áA
0x2d23	0x2462	# áB
0x2d24	0x2463	# áC
0x2d25	0x2464	# áD
0x2d26	0x2465	# áE
0x2d27	0x2466	# áF
0x2d28	0x2467	# áG
0x2d29	0x2468	# áH
0x2d2a	0x2469	# áI
0x2d2b	0x246a	# áJ
0x2d2c	0x246b	# áK
0x2d2d	0x246c	# áL
0x2d2e	0x246d	# áM
0x2d2f	0x246e	# áN
0x2d30	0x246f	# áO
0x2d31	0x2470	# áP
0x2d32	0x2471	# áQ
0x2d33	0x2472	# áR
0x2d34	0x2473	# áS

0x2d60	0x301d	# áÄ
0x2d61	0x301f	# áÅ
0x2474	0x3094	# Ç§ÅJ
0x2d6a	0x3231	# áä
0x2d6b	0x3232	# áã
0x2d6c	0x3239	# áå
0x2d65	0x32a4	# áÖ
0x2d66	0x32a5	# áÜ
0x2d67	0x32a6	# áá
0x2d68	0x32a7	# áà
0x2d69	0x32a8	# áâ
0x2d46	0x3303	# áe
0x2d4a	0x330d	# ái
0x2d41	0x3314	# á`
0x2d44	0x3318	# ác
0x2d42	0x3322	# áa
0x2d4c	0x3323	# ák
0x2d4b	0x3326	# áj
0x2d45	0x3327	# ád
0x2d4d	0x332b	# ál
0x2d47	0x3336	# áf
0x2d4f	0x333b	# án
0x2d40	0x3349	# á_
0x2d4e	0x334a	# ám
0x2d43	0x334d	# áb
0x2d48	0x3351	# ág
0x2d49	0x3357	# áh
0x2d5f	0x337b	# á~
0x2d6f	0x337c	# áè
0x2d6e	0x337d	# áé
0x2d6d	0x337e	# áç
0x2d53	0x338e	# ár
0x2d54	0x338f	# ás
0x2d50	0x339c	# áo
0x2d51	0x339d	# áp
0x2d52	0x339e	# áq
0x2d56	0x33a1	# áu
0x2d55	0x33c4	# át
0x2d63	0x33cd	# áÉ

0x792d	0x4e28	# ÌL
0x792e	0x4ee1	# ÌM
0x792f	0x4efc	# ÌN
0x7930	0x4f00	# ÌO
0x7931	0x4f03	# ÌP
0x7932	0x4f39	# ÌQ
0x7933	0x4f56	# ÌR
0x7935	0x4f8a	# ÌT
0x7934	0x4f92	# ÌS
0x7937	0x4f94	# ÌV
0x7936	0x4f9a	# ÌU
0x7926	0x4fc9	# ÌE
0x7938	0x4fcd	# ÌW
0x793b	0x4fff	# ÌZ
0x793c	0x501e	# Ì[
0x793a	0x5022	# ÌY
0x7939	0x5040	# ÌX
0x793f	0x5042	# Ì^
0x793d	0x5046	# Ì\
0x793e	0x5070	# Ì]
0x7940	0x5094	# Ì_
0x7942	0x50d8	# Ìa
0x7941	0x50f4	# Ì`
0x7943	0x514a	# Ìb
0x7944	0x5164	# Ìc
0x7945	0x519d	# Ìd
0x7946	0x51be	# Ìe
0x7947	0x51ec	# Ìf
0x7948	0x5215	# Ìg
0x7949	0x529c	# Ìh
0x794a	0x52a6	# Ìi
0x7b3c	0x52af	# Ó[
0x794b	0x52c0	# Ìj
0x794c	0x52db	# Ìk
0x794d	0x5300	# Ìl
0x794e	0x5307	# Ìm
0x794f	0x5324	# Ìn
0x7950	0x5372	# Ìo
0x7951	0x5393	# Ìp
0x7952	0x53b2	# Ìq
0x7953	0x53dd	# Ìr
0x7956	0x548a	# Ìu
0x7955	0x549c	# Ìt
0x7957	0x54a9	# Ìv
0x7958	0x54ff	# Ìw
0x7959	0x5586	# Ìx
0x795a	0x5759	# Ìy
0x795b	0x5765	# Ìz
0x795c	0x57ac	# Ì{
0x795e	0x57c7	# Ì}
0x795d	0x57c8	# Ì|
0x7961	0x589e	# ÌÅ
0x7962	0x58b2	# ÌÇ
0x7963	0x590b	# ÌÉ
0x7964	0x5953	# ÌÑ
0x7965	0x595b	# ÌÖ
0x7966	0x595d	# ÌÜ
0x7967	0x5963	# Ìá
0x7968	0x59a4	# Ìà
0x7969	0x59ba	# Ìâ
0x796a	0x5b56	# Ìä
0x796b	0x5bc0	# Ìã
0x796d	0x5bd8	# Ìç
0x796e	0x5bec	# Ìé
0x796f	0x5c1e	# Ìè
0x7970	0x5ca6	# Ìê
0x7971	0x5cba	# Ìë
0x7972	0x5cf5	# Ìí
0x7973	0x5d27	# Ìì
0x7976	0x5d42	# Ìñ
0x7974	0x5d53	# Ìî
0x7977	0x5d6d	# Ìó
0x7978	0x5db8	# Ìò
0x7979	0x5db9	# Ìô
0x797a	0x5dd0	# Ìö
0x797b	0x5f21	# Ìõ
0x797c	0x5f34	# Ìú
0x792c	0x5f45	# ÌK
0x797d	0x5f67	# Ìù
0x797e	0x5fb7	# Ìû
0x7a21	0x5fde	# Ìü
0x7a22	0x605d	# Ì†
0x7a23	0x6085	# Ì°
0x7a24	0x608a	# Ì¢
0x7a26	0x60d5	# Ì§
0x7a25	0x60de	# Ì£
0x7a28	0x60f2	# Ì¶
0x7a29	0x6111	# Ìß
0x7a27	0x6120	# Ì•
0x7a2b	0x6130	# Ì©
0x7a2a	0x6137	# Ì®
0x7a2c	0x6198	# Ì™
0x7a2d	0x6213	# Ì´
0x7a2e	0x62a6	# Ì¨
0x7a2f	0x63f5	# Ì≠
0x7a30	0x6460	# ÌÆ
0x7a31	0x649d	# ÌØ
0x7a32	0x64ce	# Ì∞
0x7a33	0x654e	# Ì±
0x7a34	0x6600	# Ì≤
0x7a37	0x6609	# Ìµ
0x7a35	0x6615	# Ì≥
0x7a39	0x661e	# Ì∑
0x7a3a	0x6624	# Ì∏
0x7a38	0x662e	# Ì∂
0x7928	0x6631	# ÌG
0x7a36	0x663b	# Ì¥
0x7a3c	0x6657	# Ì∫
0x7a3d	0x6659	# Ìª
0x7a3b	0x6665	# Ìπ
0x7a3f	0x6673	# ÌΩ
0x7a40	0x6699	# Ìæ
0x7a41	0x66a0	# Ìø
0x7a42	0x66b2	# Ì¿
0x7a43	0x66bf	# Ì¡
0x7a44	0x66fa	# Ì¬
0x792b	0x66fb	# ÌJ
0x7a45	0x670e	# Ì√
0x7a47	0x6766	# Ì≈
0x7a48	0x67bb	# Ì∆
0x7a4a	0x67c0	# Ì»
0x7a4b	0x6801	# Ì…
0x7a4c	0x6844	# Ì 
0x7a49	0x6852	# Ì«
0x7929	0x68c8	# ÌH
0x7a4d	0x68cf	# ÌÀ
0x7a4f	0x6968	# ÌÕ
0x7a51	0x6998	# Ìœ
0x7a52	0x69e2	# Ì–
0x7a53	0x6a30	# Ì—
0x7a55	0x6a46	# Ì”
0x7a54	0x6a6b	# Ì“
0x7a56	0x6a73	# Ì‘
0x7a57	0x6a7e	# Ì’
0x7a58	0x6ae2	# Ì÷
0x7a59	0x6ae4	# Ì◊
0x7a5a	0x6bd6	# Ìÿ
0x7a5b	0x6c3f	# ÌŸ
0x7a5c	0x6c5c	# Ì⁄
0x7a5e	0x6c6f	# Ì‹
0x7a5d	0x6c86	# Ì€
0x7a5f	0x6cda	# Ì›
0x7a60	0x6d04	# Ìﬁ
0x7a62	0x6d6f	# Ì‡
0x7a61	0x6d87	# Ìﬂ
0x7a63	0x6d96	# Ì·
0x7a64	0x6dac	# Ì‚
0x7a65	0x6dcf	# Ì„
0x7a67	0x6df2	# ÌÂ
0x7a66	0x6df8	# Ì‰
0x7a68	0x6dfc	# ÌÊ
0x7a6b	0x6e27	# ÌÈ
0x7a69	0x6e39	# ÌÁ
0x7a6c	0x6e3c	# ÌÍ
0x7a6a	0x6e5c	# ÌË
0x7a6d	0x6ebf	# ÌÎ
0x7a6e	0x6f88	# ÌÏ
0x7a6f	0x6fb5	# ÌÌ
0x7a70	0x6ff5	# ÌÓ
0x7a71	0x7005	# ÌÔ
0x7a72	0x7007	# Ì
0x7a73	0x7028	# ÌÒ
0x7a74	0x7085	# ÌÚ
0x7a75	0x70ab	# ÌÛ
0x7927	0x70bb	# ÌF
0x7a77	0x7104	# Ìı
0x7a76	0x710f	# ÌÙ
0x7a79	0x7146	# Ì˜
0x7a7a	0x7147	# Ì¯
0x7a78	0x715c	# Ìˆ
0x7a7c	0x71c1	# Ì˙
0x7a7d	0x71fe	# Ì˚
0x7a7e	0x72b1	# Ì¸
0x7b21	0x72be	# Ó@
0x7b22	0x7324	# ÓA
0x7b24	0x7377	# ÓC
0x7b25	0x73bd	# ÓD
0x7b26	0x73c9	# ÓE
0x7b29	0x73d2	# ÓH
0x7b27	0x73d6	# ÓF
0x7b28	0x73e3	# ÓG
0x7b2b	0x73f5	# ÓJ
0x7b2a	0x7407	# ÓI
0x7b2c	0x7426	# ÓK
0x7b2e	0x7429	# ÓM
0x7b2d	0x742a	# ÓL
0x7b2f	0x742e	# ÓN
0x7b30	0x7462	# ÓO
0x7b31	0x7489	# ÓP
0x7b32	0x749f	# ÓQ
0x7b33	0x7501	# ÓR
0x796c	0x752f	# Ìå
0x7b34	0x756f	# ÓS
0x7b35	0x7682	# ÓT
0x7b38	0x769b	# ÓW
0x7b36	0x769c	# ÓU
0x7b37	0x769e	# ÓV
0x7b39	0x76a6	# ÓX
0x7b3b	0x7746	# ÓZ
0x7b3d	0x7821	# Ó\
0x7b3e	0x784e	# Ó]
0x7b3f	0x7864	# Ó^
0x7b40	0x787a	# Ó_
0x7b41	0x7930	# Ó`
0x7b45	0x7994	# Ód
0x7b47	0x799b	# Óf
0x7b48	0x7ad1	# Óg
0x7b49	0x7ae7	# Óh
0x7b4b	0x7aeb	# Ój
0x7b4c	0x7b9e	# Ók
0x7b4e	0x7d48	# Óm
0x7b4f	0x7d5c	# Ón
0x7b51	0x7da0	# Óp
0x7b50	0x7db7	# Óo
0x7b52	0x7dd6	# Óq
0x7b53	0x7e52	# Ór
0x7921	0x7e8a	# Ì@
0x7b54	0x7f47	# Ós
0x7b55	0x7fa1	# Ót
0x7b57	0x8301	# Óv
0x7b58	0x8362	# Ów
0x7b59	0x837f	# Óx
0x7b5a	0x83c7	# Óy
0x7b5b	0x83f6	# Óz
0x7b5c	0x8448	# Ó{
0x7b5d	0x84b4	# Ó|
0x7925	0x84dc	# ÌD
0x7b5e	0x8553	# Ó}
0x7b5f	0x8559	# Ó~
0x7b60	0x856b	# ÓÄ
0x7b62	0x85b0	# ÓÇ
0x7b65	0x8807	# ÓÖ
0x7b66	0x88f5	# ÓÜ
0x7922	0x891c	# ÌA
0x7b67	0x8a12	# Óá
0x7b68	0x8a37	# Óà
0x7b69	0x8a79	# Óâ
0x7b6a	0x8aa7	# Óä
0x7b6b	0x8abe	# Óã
0x7b6c	0x8adf	# Óå
0x7b6e	0x8af6	# Óé
0x7b6f	0x8b53	# Óè
0x7b70	0x8b7f	# Óê
0x7b71	0x8cf0	# Óë
0x7b72	0x8cf4	# Óí
0x7b73	0x8d12	# Óì
0x7b74	0x8d76	# Óî
0x7b76	0x8ecf	# Óñ
0x7b79	0x9067	# Óô
0x7b7a	0x90de	# Óö
0x7b7c	0x9115	# Óú
0x7b7d	0x9127	# Óù
0x7c21	0x91d7	# Óü
0x7b7e	0x91da	# Óû
0x7c22	0x91de	# Ó†
0x7c25	0x91e4	# Ó£
0x7c26	0x91e5	# Ó§
0x7c23	0x91ed	# Ó°
0x7c24	0x91ee	# Ó¢
0x7c27	0x9206	# Ó•
0x7c29	0x920a	# Óß
0x7c28	0x9210	# Ó¶
0x7c30	0x9239	# ÓÆ
0x7c2a	0x923a	# Ó®
0x7c2c	0x923c	# Ó™
0x7c2b	0x9240	# Ó©
0x7c2d	0x924e	# Ó´
0x7c2f	0x9251	# Ó≠
0x7c2e	0x9259	# Ó¨
0x7c31	0x9267	# ÓØ
0x7c33	0x9277	# Ó±
0x7c34	0x9278	# Ó≤
0x7924	0x9288	# ÌC
0x7c32	0x92a7	# Ó∞
0x7c38	0x92d0	# Ó∂
0x7c3c	0x92d3	# Ó∫
0x7c3a	0x92d5	# Ó∏
0x7c36	0x92d7	# Ó¥
0x7c37	0x92d9	# Óµ
0x7c3b	0x92e0	# Óπ
0x7c35	0x92e7	# Ó≥
0x792a	0x92f9	# ÌI
0x7c3f	0x92fb	# ÓΩ
0x7c42	0x92ff	# Ó¿
0x7c44	0x9302	# Ó¬
0x7c43	0x931d	# Ó¡
0x7c41	0x931e	# Óø
0x7c3e	0x9321	# Óº
0x7c3d	0x9325	# Óª
0x7923	0x9348	# ÌB
0x7c46	0x9357	# Óƒ
0x7c45	0x9370	# Ó√
0x7c47	0x93a4	# Ó≈
0x7c48	0x93c6	# Ó∆
0x7c49	0x93de	# Ó«
0x7c4a	0x93f8	# Ó»
0x7c4b	0x9431	# Ó…
0x7c4c	0x9445	# Ó 
0x7c4d	0x9448	# ÓÀ
0x7c4e	0x9592	# ÓÃ
0x7c51	0x969d	# Óœ
0x7c52	0x96af	# Ó–
0x7c53	0x9733	# Ó—
0x7c54	0x973b	# Ó“
0x7c55	0x9743	# Ó”
0x7c56	0x974d	# Ó‘
0x7c57	0x974f	# Ó’
0x7c58	0x9751	# Ó÷
0x7c59	0x9755	# Ó◊
0x7c5a	0x9857	# Óÿ
0x7c5b	0x9865	# ÓŸ
0x7c5e	0x9927	# Ó‹
0x7c60	0x999e	# Óﬁ
0x7c61	0x9a4e	# Óﬂ
0x7c62	0x9ad9	# Ó‡
0x7c63	0x9adc	# Ó·
0x7c65	0x9b72	# Ó„
0x7c64	0x9b75	# Ó‚
0x7c66	0x9b8f	# Ó‰
0x7c67	0x9bb1	# ÓÂ
0x7c68	0x9bbb	# ÓÊ
0x7c69	0x9c00	# ÓÁ
0x7c6b	0x9d6b	# ÓÈ
0x7c6a	0x9d70	# ÓË
0x7c6d	0x9e19	# ÓÎ
